0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.6926407,0.85281384,0.9264069,0.54112554,0.32900432,0.75757575,0.37662336,0.6969697,0.72727275,0.15151516,0.86580086,0.52380955,0.62770563,0.64069265,0.52380955,0.83116883,0.8831169,0.66233766,0.8181818,0.7316017,0.6839827,0.8008658,0.38961038,0.86147183,0.2034632,0.56277055,0.45021644,0.95238096,0.45887446,0.46320346,0.5714286,0.25974026,0.46320346,0.6839827,0.61904764,0.74025977,0.6450216,0.8181818,0.5670996,0.47619048,0.45887446,0.22510822,0.23809524,0.42424244,0.6233766,0.15584415,0.26406926,0.4935065,0.5281385,0.9264069,0.52380955,0.24675325,0.93939394,0.22510822,0.44588745,0.6883117,0.67099565,0.2034632,0.76623374,0.23809524,0.16883117,0.6666667,0.32467532,0.22510822
0.87445885,0.15584415,0.8787879,0.96103895,0.54545456,0.22077923,0.62770563,0.24242425,0.41125542,0.22510822,0.22077923,0.2857143,0.5887446,0.1991342,0.24675325,0.7316017,0.7965368,0.58441556,0.4978355,0.5151515,0.9350649,0.7748918,0.76623374,0.95238096,0.35930735,0.7748918,0.85714287,0.5497835,0.95238096,0.77056277,0.65367967,0.9177489,0.76623374,0.4848485,0.5021645,0.44155845,0.34632036,0.36363637,0.3073593,0.35497835,0.77056277,0.5281385,0.6103896,0.24675325,0.2987013,0.45887446,0.72727275,0.4848485,0.17748918,0.4978355,0.8268398,0.53246754,0.6233766,0.41558442,0.8787879,0.32034633,0.33766234,0.27272728,0.4069264,0.37229437,0.16883117,0.2987013,0.25974026,0.6147186
0.8917749,0.21212122,0.25541127,0.3982684,0.6017316,0.36796537,0.9047619,0.5021645,0.5021645,0.22510822,0.7619048,0.24675325,0.77056277,0.17748918,0.5584416,0.7316017,0.7748918,0.6147186,0.6060606,0.24675325,0.53246754,0.5714286,0.76623374,0.74891776,0.21212122,0.3982684,0.41125542,0.3809524,0.7619048,0.86147183,0.34199134,0.5194805,0.8008658,0.6839827,0.3982684,0.6796537,0.47619048,0.5670996,0.27705628,0.25541127,0.26839826,0.5887446,0.45887446,0.65800864,0.66233766,0.94372296,0.15584415,0.83549786,0.37662336,0.45454547,0.19480519,0.44588745,0.64935064,0.3809524,0.7012987,0.5714286,0.44588745,0.2987013,0.45454547,0.46753246,0.4935065,0.5714286,0.88744587,0.5021645
0.8961039,0.44588745,0.7056277,0.8181818,0.85281384,0.7186147,0.5151515,0.55411255,0.8051948,0.6233766,0.8051948,0.8138528,0.32467532,0.53246754,0.5151515,0.9047619,0.41558442,0.6926407,0.5800866,0.6839827,0.41558442,0.5974026,0.67099565,0.44588745,0.87445885,0.5497835,0.23809524,0.37662336,0.6883117,0.85714287,0.6103896,0.27272728,0.64935064,0.72727275,0.5021645,0.1904762,0.63203466,0.82251084,0.16017316,0.2857143,0.52380955,0.4935065,0.6666667,0.38961038,0.77056277,0.25974026,0.7099567,0.4069264,0.63203466,0.90909094,0.6969697,0.33333334,0.3030303,0.35497835,0.16450216,0.86147183,0.25108224,0.22077923,0.4069264,0.87445885,0.8268398,0.18181819,0.54112554,0.8917749
0.7748918,0.32034633,0.47619048,0.57575756,0.35064936,0.65800864,0.61904764,0.32467532,0.90909094,0.90909094,0.6450216,0.22077923,0.17316018,0.7012987,0.22077923,0.8701299,0.21212122,0.43722942,0.85714287,0.23809524,0.8398268,0.17748918,0.37662336,0.8181818,0.45887446,0.36796537,0.8008658,0.7056277,0.27272728,0.63203466,0.54545456,0.44588745,0.5670996,0.86147183,0.71428573,0.22510822,0.64935064,0.71428573,0.83116883,0.93939394,0.36796537,0.32467532,0.23809524,0.3116883,0.18181819,0.6450216,0.67099565,0.23809524,0.7056277,0.74891776,0.45454547,0.5064935,0.4199134,0.33766234,0.3809524,0.21212122,0.34199134,0.9264069,0.4935065,0.55411255,0.84415585,0.9177489,0.9480519,0.32034633
0.76623374,0.54545456,0.6017316,0.74458873,0.3030303,0.9220779,0.6363636,0.9480519,0.85281384,0.5887446,0.5930736,0.46320346,0.9134199,0.3116883,0.7056277,0.21212122,0.22077923,0.3982684,0.77922076,0.54112554,0.8051948,0.46320346,0.35930735,0.9350649,0.2034632,0.33333334,0.54112554,0.26406926,0.93073595,0.22510822,0.8051948,0.82251084,0.63203466,0.4891775,0.16883117,0.6883117,0.85281384,0.7878788,0.1904762,0.6926407,0.45887446,0.6233766,0.16450216,0.8961039,0.95238096,0.22077923,0.54545456,0.83549786,0.35497835,0.85281384,0.53246754,0.46320346,0.3809524,0.33333334,0.25108224,0.16450216,0.23376623,0.51082253,0.8961039,0.7316017,0.4069264,0.5151515,0.46753246,0.44155845
0.8917749,0.16017316,0.8831169,0.95238096,0.5367965,0.22077923,0.62770563,0.24242425,0.4069264,0.22510822,0.22077923,0.2857143,0.5887446,0.19480519,0.24675325,0.7316017,0.7965368,0.58441556,0.4935065,0.51082253,0.9350649,0.77922076,0.76623374,0.9480519,0.35930735,0.7748918,0.85714287,0.55411255,0.9480519,0.7619048,0.66233766,0.90909094,0.7619048,0.4848485,0.5064935,0.45021644,0.35497835,0.36363637,0.3073593,0.35497835,0.7619048,0.52380955,0.61904764,0.25108224,0.3073593,0.45887446,0.72727275,0.48051947,0.17316018,0.4978355,0.8268398,0.5281385,0.61904764,0.41558442,0.88744587,0.32034633,0.33333334,0.26406926,0.41558442,0.37229437,0.17316018,0.2943723,0.27272728,0.6147186
0.62770563,0.46753246,0.2900433,0.83549786,0.63203466,0.7532467,0.73593074,0.46753246,0.3982684,0.15151516,0.56277055,0.6926407,0.83116883,0.4199134,0.9264069,0.7532467,0.7748918,0.71428573,0.8268398,0.1904762,0.14718615,0.2900433,0.24675325,0.19480519,0.5281385,0.4978355,0.7835498,0.2034632,0.6839827,0.7316017,0.44155845,0.27705628,0.71428573,0.3116883,0.8917749,0.1904762,0.46753246,0.77922076,0.6017316,0.45887446,0.18181819,0.5064935,0.73593074,0.25974026,0.95238096,0.6666667,0.7099567,0.9264069,0.37662336,0.5714286,0.7619048,0.14285715,0.94372296,0.8268398,0.42857143,0.45021644,0.41558442,0.21212122,0.8787879,0.8095238,0.90909094,0.45887446,0.7965368,0.86580086
0.73593074,0.4199134,0.88744587,0.42424244,0.62770563,0.41558442,0.43290043,0.8138528,0.6666667,0.4069264,0.46753246,0.18614718,0.5930736,0.27705628,0.6450216,0.85281384,0.5584416,0.7878788,0.6017316,0.63203466,0.8787879,0.74025977,0.83116883,0.86147183,0.74458873,0.24242425,0.82251084,0.65800864,0.5714286,0.95671,0.90909094,0.6017316,0.27705628,0.7186147,0.5064935,0.21645021,0.6363636,0.8138528,0.47186148,0.42424244,0.61904764,0.58441556,0.51082253,0.35930735,0.38528138,0.16883117,0.71428573,0.75757575,0.35930735,0.20779221,0.2943723,0.22510822,0.1991342,0.6450216,0.32900432,0.14718615,0.9220779,0.7099567,0.61904764,0.6103896,0.3030303,0.3030303,0.6926407,0.34199134
0.8917749,0.44588745,0.7012987,0.82251084,0.86147183,0.7186147,0.5151515,0.5584416,0.8051948,0.6233766,0.8138528,0.8095238,0.32900432,0.53246754,0.52380955,0.9004329,0.42424244,0.6926407,0.5800866,0.6839827,0.41125542,0.5974026,0.6666667,0.45021644,0.87445885,0.5497835,0.22943723,0.37662336,0.6926407,0.8484849,0.6103896,0.27705628,0.64935064,0.72727275,0.4978355,0.1904762,0.63203466,0.83116883,0.16450216,0.28138527,0.5194805,0.4935065,0.6666667,0.38528138,0.77056277,0.25974026,0.7186147,0.4069264,0.62770563,0.90909094,0.6969697,0.32900432,0.3030303,0.35930735,0.16017316,0.86147183,0.24242425,0.22077923,0.41558442,0.87445885,0.82251084,0.18614718,0.54112554,0.8917749
