0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.58598727,0.7324841,0.7643312,0.5987261,0.53503186,0.6496815,0.6751592,0.50318474,0.53503186,0.6496815,0.6496815,0.52866244,0.6433121,0.80254775,0.84713376,0.656051,0.58598727,0.7133758,0.75159234,0.54140127,0.53503186,0.656051,0.6624204,0.51592356,0.6496815,0.80254775,0.85350317,0.6624204,0.56050956,0.77070063,0.81528664,0.6369427,0.53503186,0.6815287,0.7197452,0.55414015
0.53503186,0.6496815,0.6751592,0.50318474,0.53503186,0.6496815,0.6496815,0.52866244,0.50955415,0.6496815,0.6496815,0.50318474,0.58598727,0.7133758,0.75159234,0.54140127,0.53503186,0.656051,0.6624204,0.51592356,0.53503186,0.6305733,0.6624204,0.4968153,0.56050956,0.77070063,0.81528664,0.6369427,0.53503186,0.6815287,0.7197452,0.55414015,0.53503186,0.6305733,0.6624204,0.50318474
0.53503186,0.6496815,0.6496815,0.52866244,0.50955415,0.6496815,0.6496815,0.50318474,0.53503186,0.5987261,0.6496815,0.50318474,0.53503186,0.656051,0.6624204,0.51592356,0.53503186,0.6305733,0.6624204,0.4968153,0.53503186,0.6305733,0.6624204,0.51592356,0.53503186,0.6815287,0.7197452,0.55414015,0.53503186,0.6305733,0.6624204,0.50318474,0.53503186,0.6305733,0.6624204,0.50318474
0.50955415,0.6496815,0.6496815,0.50318474,0.53503186,0.5987261,0.6496815,0.50318474,0.50955415,0.5987261,0.6242038,0.48407644,0.53503186,0.6305733,0.6624204,0.4968153,0.53503186,0.6305733,0.6624204,0.51592356,0.48407644,0.6305733,0.6624204,0.51592356,0.53503186,0.6305733,0.6624204,0.50318474,0.53503186,0.6305733,0.6624204,0.50318474,0.53503186,0.656051,0.6624204,0.50318474
0.53503186,0.5987261,0.6496815,0.50318474,0.50955415,0.5987261,0.6242038,0.48407644,0.50955415,0.6496815,0.6496815,0.50318474,0.53503186,0.6305733,0.6624204,0.51592356,0.48407644,0.6305733,0.6624204,0.51592356,0.48407644,0.6305733,0.6878981,0.54140127,0.53503186,0.6305733,0.6624204,0.50318474,0.53503186,0.656051,0.6624204,0.50318474,0.50318474,0.6815287,0.6942675,0.55414015
0.50955415,0.5987261,0.6242038,0.48407644,0.50955415,0.6496815,0.6496815,0.50318474,0.48407644,0.6496815,0.6496815,0.50318474,0.48407644,0.6305733,0.6624204,0.51592356,0.48407644,0.6305733,0.6878981,0.54140127,0.48407644,0.656051,0.75159234,0.56050956,0.53503186,0.656051,0.6624204,0.50318474,0.50318474,0.6815287,0.6942675,0.55414015,0.50318474,0.6815287,0.6942675,0.55414015
0.48407644,0.6496815,0.6751592,0.52866244,0.48407644,0.6496815,0.6751592,0.55414015,0.50955415,0.6242038,0.6751592,0.50318474,0.50955415,0.6815287,0.75159234,0.56050956,0.50955415,0.7133758,0.75159234,0.56050956,0.50955415,0.6815287,0.7197452,0.54140127,0.50318474,0.6815287,0.7197452,0.55414015,0.50318474,0.656051,0.6624204,0.52866244,0.50318474,0.656051,0.6624204,0.50318474
0.48407644,0.6496815,0.6751592,0.55414015,0.50955415,0.6242038,0.6751592,0.50318474,0.48407644,0.5987261,0.6496815,0.48407644,0.50955415,0.7133758,0.75159234,0.56050956,0.50955415,0.6815287,0.7197452,0.54140127,0.50955415,0.60509557,0.6369427,0.4968153,0.50318474,0.656051,0.6624204,0.52866244,0.50318474,0.656051,0.6624204,0.50318474,0.50318474,0.60509557,0.6369427,0.50318474
0.48407644,0.566879,0.6242038,0.48407644,0.48407644,0.5987261,0.6242038,0.48407644,0.48407644,0.6242038,0.6496815,0.45859873,0.50955415,0.60509557,0.6624204,0.4713376,0.48407644,0.57961786,0.6624204,0.4713376,0.48407644,0.60509557,0.6369427,0.4968153,0.477707,0.57961786,0.611465,0.477707,0.477707,0.57961786,0.611465,0.4522293,0.50318474,0.55414015,0.5923567,0.4522293
0.48407644,0.5987261,0.6242038,0.48407644,0.48407644,0.6242038,0.6496815,0.45859873,0.48407644,0.5987261,0.5732484,0.48407644,0.48407644,0.57961786,0.6624204,0.4713376,0.48407644,0.60509557,0.6369427,0.4968153,0.48407644,0.57961786,0.6369427,0.4713376,0.477707,0.57961786,0.611465,0.4522293,0.50318474,0.55414015,0.5923567,0.4522293,0.50318474,0.55414015,0.5923567,0.42675158
